wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cI                                                                                                          rFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
256,3,3,128,16,16,1,1,9240.4,59.8889,60.0889,59.9333,59.7,blas_bug,70.1125,70.4,68.7875,83.7429,47.6273,47.2727,53.93,41.5154,45.2333,45.6917
512,3,3,128,16,16,1,1,18482.5,116.72,120.8,118.66,116.32,blas_bug,132,127.975,127.725,167.933,84.8333,91.0667,97.9167,80.3286,86.6833,89.8
32,3,3,256,16,16,1,1,2303.8,17.5138,18.675,17.0833,18.1214,blas_bug,36.9143,38.5462,37.2286,16.3968,29.1667,19.1407,32.3875,12.0071,12.1357,11.6465
64,3,3,256,16,16,1,1,4613.8,31.0529,31.75,31.4937,32.3563,blas_bug,52.26,52.5,50.79,33.6867,38.4571,28.9222,42.45,21.8,23.1045,22.1478
128,3,3,256,16,16,1,1,9236.6,61.0444,62.95,60.7889,60.8778,blas_bug,84.9833,84.3167,80.3286,66.95,57.8,51.15,65.0625,41.8,45.5545,45.0583
256,3,3,256,16,16,1,1,18473.2,119.48,122.64,118.08,117.44,blas_bug,144.425,140.275,135.925,133.225,94.35,92.8667,106.6,81.1143,90.3,87.2833
512,3,3,256,16,16,1,1,36950.8,232.833,241.4,238.767,232.4,blas_bug,263.15,253.75,250,258.8,168.6,180.1,195.067,155.575,176.867,175.6
32,3,3,512,16,16,1,1,4623.6,35.8733,35.42,34.5467,34.24,blas_bug,76.6143,77.3857,73.7857,29.7,55.7,33.5267,62.95,25.475,25.495,24.4333
64,3,3,512,16,16,1,1,9257.5,64.275,63.975,62.5375,62.5125,blas_bug,100.96,102.5,100.4,58.1111,77.3857,55.9444,83.9167,43.8583,46.3,46.2091
128,3,3,512,16,16,1,1,18515.4,120.2,122.4,119.6,119.4,blas_bug,160.05,163.925,160.875,114.54,114.4,98.2833,125.525,85.3167,90.9833,87.35
256,3,3,512,16,16,1,1,37026,236.167,241.833,234.567,239.433,blas_bug,280.4,278.75,273.6,227.033,186.167,183.7,213.167,157.775,183.433,175.933
512,3,3,512,16,16,1,1,74062,459.45,476.95,459.8,464.25,blas_bug,511.4,506.9,501.6,449.1,348.55,355.65,388.2,306.45,342.3,341.55
32,3,3,3,32,32,1,1,119.54,2.52727,2.48856,2.54467,2.46404,blas_bug,1.36885,1.47009,1.3147,15.0324,1.32058,0.751502,1.40449,3.94016,3.62464,4.17083
64,3,3,3,32,32,1,1,237.7,3.31523,3.26169,3.31391,3.27792,blas_bug,2.11134,2.21726,2.11092,30.6765,1.85444,1.36485,1.95603,7.40735,6.76081,7.86875
128,3,3,3,32,32,1,1,475.45,5.47717,5.14286,5.32447,5.10714,blas_bug,4.012,4.28291,3.96905,61.2889,3.38176,3.11304,3.62681,7.35294,5.25312,8.35
256,3,3,3,32,32,1,1,951.6,9.67308,8.74655,9.56415,8.79825,blas_bug,7.76308,8.36833,7.85231,114.7,6.14878,6.06506,6.82568,19.3593,16.3323,21.7391
512,3,3,3,32,32,1,1,1903.1,16.72,15.9375,16.8833,16.1313,blas_bug,15.2,15.2758,15.2545,245,10.7106,11.7163,11.9429,37.7,33.0562,41.8
32,3,3,32,32,32,1,1,1165.3,11.0261,11.2556,10.8848,11.2933,blas_bug,14.8706,16.2516,14.5314,19.0481,15.7906,8.50169,15.3121,6.70267,6.23086,6.66933
64,3,3,32,32,32,1,1,2329.6,18.1214,18.3464,19.063,18.5464,blas_bug,22.1043,24.0045,21.4917,37.1143,20.156,13.3947,19.9385,12.57,11.7605,12.6575
128,3,3,32,32,32,1,1,4657.9,33.7067,33.3687,33.2313,32.5125,blas_bug,37.1214,38.7923,35.9214,75.7143,29.4882,24.0762,30.7118,25.93,23.7318,25.96
256,3,3,32,32,32,1,1,9318.4,62.3111,62.6,63.475,62.975,blas_bug,64.6625,70.625,66.15,149.85,51.05,44.725,51.75,48.9273,47.3182,51.18
512,3,3,32,32,32,1,1,18652.1,120.38,121.24,120.52,120.32,blas_bug,124.4,126.925,126.15,285.75,87.45,86.3833,91.0667,92.5833,90.15,98.7
32,3,3,64,32,32,1,1,2314.2,19.9385,19.9115,19.4115,20.188,blas_bug,28.9889,34.5733,29.5588,23.819,32.8937,17.3793,31.3625,12.8897,11.8419,12.2548
64,3,3,64,32,32,1,1,4627.1,34.3533,33.9133,33.4733,34.0867,blas_bug,42.7083,47.3,42.5917,48.3091,41.6231,26.8684,39.6846,23.5182,22.5304,23.8952
128,3,3,64,32,32,1,1,9257.1,65.775,63.875,63.5375,63.425,blas_bug,72.1,77.2429,72.5,95.5833,59.4556,46.9182,60.8111,45.5417,44.65,48.2182
256,3,3,64,32,32,1,1,18527,124,120.18,119.52,118.8,blas_bug,131.05,132.1,129.75,190.767,96.1167,86.9833,100.96,84.0833,86.3333,89.4
512,3,3,64,32,32,1,1,37073.4,239.133,234.767,233.967,230.5,blas_bug,244.033,250.5,247.433,360.15,172.2,167.725,179.967,162.375,169,181.067
32,3,3,128,32,32,1,1,4612.9,37.5071,38.5154,36.9,37.35,blas_bug,55.8444,67.1,55.5778,34.56,65.15,32.9625,61.6778,26.3579,24.6571,25.325
64,3,3,128,32,32,1,1,9229.5,64.175,64.6,64.025,65.0625,blas_bug,83.5333,95.3167,84.3,69,83.1429,52.81,80.5429,45.7818,44.05,44.7167
128,3,3,128,32,32,1,1,18471.3,121.16,122.66,122.76,123.56,blas_bug,144,151.1,140.575,137.3,118.16,92.4,124.3,84.9667,84.7833,84.8333
256,3,3,128,32,32,1,1,36966.9,235.233,237.567,235.5,235.167,blas_bug,259,257.6,257.4,274.25,189.767,168.367,198.467,157.4,163.7,174.033
512,3,3,128,32,32,1,1,74825.6,457.05,469.1,456.55,457,blas_bug,478.95,490.75,482.3,516.7,332.05,325.8,359,306.35,323.9,330.45
32,3,3,256,32,32,1,1,9224.9,73.1143,73.7714,73.8,73.4429,blas_bug,107.24,130.05,111.12,56.45,130,67.575,121.88,56.1,54.4,52.89
64,3,3,256,32,32,1,1,18444.3,126.95,130.075,126.725,129.85,blas_bug,164.2,188.3,165.875,109.68,167.5,104.14,160.425,93.3333,87.6333,89.5667
128,3,3,256,32,32,1,1,36905.2,241.3,243.233,239.967,239.133,blas_bug,281.45,302.85,278.4,226.767,234.633,184.233,238.267,166.867,171.133,167.225
256,3,3,256,32,32,1,1,73812.5,463.5,468.2,465.9,469.15,blas_bug,500.8,535.8,510.1,434.9,374.25,334.55,395.85,309.85,330.5,330.05
512,3,3,256,32,32,1,1,149663,929.9,930.9,906.6,918.5,blas_bug,968.4,954,965.5,881.4,684.5,664.4,713.1,602.3,634.6,635.1
32,3,3,512,32,32,1,1,18497.1,146.525,142.75,146.025,142.3,blas_bug,214.767,261.6,216,98.45,259.7,131.925,245.667,109.94,103.32,100.367
64,3,3,512,32,32,1,1,37039,255.7,257.05,251.85,257.5,blas_bug,323.55,377.9,329.2,195.867,326.15,204.867,314.55,181.433,176.4,179.9
128,3,3,512,32,32,1,1,74072.5,485.6,480.55,477.3,475.9,blas_bug,560.7,594.6,551.9,382.65,455.6,364.1,475.65,319.7,329,326.6
256,3,3,512,32,32,1,1,148151,921.5,931.7,920,924.7,blas_bug,1011.2,1062.9,999.5,784.9,754.3,682.3,788.3,616.3,645.5,648.9
512,3,3,512,32,32,1,1,297113,1821.7,1848.5,1813.9,1828.1,blas_bug,1918.8,1931.1,1914.7,1520.9,1338.3,1311.6,1425,1193.2,1275.6,1281
32,3,3,3,64,64,1,1,475.5,11.5773,10.3714,11.7512,10.3408,blas_bug,4.98515,6.692,4.98218,52.83,6.68133,4.49643,6.96301,8.53898,7.75231,9.61538
64,3,3,3,64,64,1,1,950.8,15.8688,14.2972,16.0312,14.2028,blas_bug,8.78421,10.9065,8.66034,105.94,9.73077,7.59545,10.7085,24.0571,20.8417,25.69
128,3,3,3,64,64,1,1,1901.7,25.135,20.956,24.5429,20.9833,blas_bug,16.1594,20.196,15.7,211.5,15.6687,14.4371,16.4161,51.4,45.5417,54.06
256,3,3,3,64,64,1,1,3807.1,38.6154,34.7933,39.7,35.3867,blas_bug,29.9824,34.58,30.1353,410.5,25.77,24.5667,26.6895,91.95,78.4,95.1
512,3,3,3,64,64,1,1,7611.8,68.6875,63.5125,66.975,62.6,blas_bug,58.6444,61.8778,58.6222,761.1,44.4,44.4833,47.0182,152.025,124.9,163.725
32,3,3,32,64,64,1,1,4660.8,47.0818,41.7417,46.4545,42.4917,blas_bug,45.4417,60.6111,45.6273,66.7625,67.6625,31.8562,58.5889,35.9357,31.2563,33.98
64,3,3,32,64,64,1,1,9317.9,77.0429,71.7714,74.5429,70.6625,blas_bug,73.9143,86.65,75.3857,127.475,83.95,49.5545,77.2571,57.4111,52.19,55.9
128,3,3,32,64,64,1,1,18631.6,133.275,128.05,133.475,127.15,blas_bug,130.1,145.825,133.7,247.633,120.84,89.7333,116.46,107.46,103.84,108.52
