wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,PartiallyUnrolledInputExplicitOutPaddingConv,PartiallyUnrolledInputExplicitPaddingConv
64,3,3,512,64,64,1,1,1311,21.6771,21.4896,21.3958,21.4479,31.2353,31.375,30.8529,30.4706,7.10563,36.2857,23.0568,35.9643,15.9063,7.14643,6.73
128,3,3,512,64,64,1,1,2624.25,25.3625,24.2857,25.9,25.3875,35.3,34.5,35.8036,33.4688,12.4817,40.3654,27.9861,40.2308,20.04,10.3214,11.3278
256,3,3,512,64,64,1,1,5289.5,36,30.7059,34.7167,30.7941,44.7083,40.5577,44.8958,40.6538,27.1184,51.9,39.7885,50.65,34.6333,26.7368,25.8625
512,3,3,512,64,64,1,1,10522.5,55.9167,45.3958,54.175,44.5833,61.9722,54.625,62.625,54.425,53.025,68.4063,55.75,66.9688,52.975,44.7917,48.3636
32,3,3,3,128,128,1,1,17.75,0.870435,0.855556,0.869565,0.846447,0.762195,0.740385,0.761035,0.724638,3.64493,0.769615,0.677507,0.771991,2.71622,2.01815,2.30876
64,3,3,3,128,128,1,1,35.4167,1.001,0.95563,0.988142,0.95381,0.885398,0.810778,0.877193,0.812906,8.5339,0.901351,0.778771,0.916209,3.1693,2.6609,3.12969
128,3,3,3,128,128,1,1,70.625,1.38017,1.08804,1.48077,1.11359,1.35175,1.06316,1.34771,1.0389,23.1705,1.3089,1.18602,1.35501,5.74148,5.32181,5.78736
256,3,3,3,128,128,1,1,141.875,2.16558,1.27226,2.08333,1.2703,1.93147,1.2444,1.94186,1.13292,52.225,1.9881,1.98909,2.13675,15.2652,14.9265,15.4924
512,3,3,3,128,128,1,1,291.125,4.37826,3.83969,4.37826,3.85385,4.35435,3.83969,4.45133,4.0752,108.5,4.28846,4.52027,4.5473,24.0238,21.0313,24.1429
32,3,3,32,128,128,1,1,151.25,6.65461,5.53571,6.54221,5.75,6.61842,6.41667,6.67667,6.29688,3.99206,6.26563,4.83173,5.92647,5.25781,2.98214,2.93129
64,3,3,32,128,128,1,1,303.25,8.63362,6.36076,8.61441,6.39241,8.32377,7.16429,8.45,6.95139,9.50943,7.84375,6.4359,7.52239,6.47115,4.57273,4.76429
128,3,3,32,128,128,1,1,605.5,11.1087,8.25,11.2444,8.03571,10.7447,8.73276,10.4219,8.2582,24.0595,10.15,8.29508,10.075,9.88725,6.92466,8.49167
256,3,3,32,128,128,1,1,1219.75,14.8529,11.2,14.8309,11.35,14.6,11.1111,13.9583,11.1889,53.825,13.2895,11.5227,12.9038,21.1146,17.8661,19.1481
512,3,3,32,128,128,1,1,2427.5,20.9479,16.9,20.9792,16.975,19.875,16.6667,19.7019,16.8167,109.75,19.8462,18.1339,19.4519,35.0333,30.2941,32.7813
32,3,3,64,128,128,1,1,319.125,12.4146,10.8723,12.1488,10.7766,15.4318,14.7426,15.3939,14.6214,4.19792,17.5862,11.5057,16.7833,7.65909,4.024,4.26059
64,3,3,64,128,128,1,1,636,13.4539,11.8779,13.6014,11.9012,16.95,15.8984,17.5776,15.4545,10.8913,19.4519,12.6125,18.0446,9.65385,5.16495,4.97525
128,3,3,64,128,128,1,1,1268.25,16.675,14.3714,16.6833,14.0417,20.2,17.3276,19.75,17.5517,24.7619,22.1522,15.5909,21.2083,14.6286,7.29643,8.2621
256,3,3,64,128,128,1,1,2535,23.2727,18.25,22.75,18.2589,26.225,21.5729,25.325,21.4583,56.2222,28.1806,22.1522,28.4444,28.0278,22.5217,23.8571
