wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 512, 4, 4, 2, 2, 289.35, 2.55969, n/a, 7.59851, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 512, 4, 4, 2, 2, 579.9, 4.74906, n/a, 15.1758, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 512, 4, 4, 2, 2, 1159.9, 9.26727, n/a, 30.3, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 512, 4, 4, 2, 2, 2340.5, 18.737, n/a, 61.7778, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 512, 4, 4, 2, 2, 4681.7, 41.0308, n/a, 122.3, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 3, 8, 8, 2, 2, 7.47164, 0.220697, n/a, 2.2426, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 3, 8, 8, 2, 2, 14.9412, 0.32973, n/a, 4.14298, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 3, 8, 8, 2, 2, 29.8353, 0.545852, n/a, 10.8935, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 3, 8, 8, 2, 2, 59.4667, 0.387152, n/a, 23.5045, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 3, 8, 8, 2, 2, 118.96, 0.623815, n/a, 48.5636, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 32, 8, 8, 2, 2, 72.8571, 0.507817, n/a, 2.96059, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 32, 8, 8, 2, 2, 145.625, 0.818331, n/a, 6.77432, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 32, 8, 8, 2, 2, 291.1, 1.39167, n/a, 15.4636, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 32, 8, 8, 2, 2, 582.2, 2.63895, n/a, 31.6938, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 32, 8, 8, 2, 2, 1165.8, 5.73409, n/a, 60.4778, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 64, 8, 8, 2, 2, 145.725, 0.869565, n/a, 4.43451, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 64, 8, 8, 2, 2, 289.2, 1.47699, n/a, 10.0392, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 64, 8, 8, 2, 2, 578.3, 2.70378, n/a, 20.44, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 64, 8, 8, 2, 2, 1169, 5.48478, n/a, 42.1083, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 64, 8, 8, 2, 2, 2316.9, 11.2, n/a, 84.75, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 128, 8, 8, 2, 2, 288.35, 1.66733, n/a, 7.27101, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 128, 8, 8, 2, 2, 581, 2.90287, n/a, 15.2909, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 128, 8, 8, 2, 2, 1154.9, 5.52418, n/a, 31.9875, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 128, 8, 8, 2, 2, 2311.3, 10.5729, n/a, 61.1444, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 128, 8, 8, 2, 2, 4677.3, 21.9609, n/a, 121.28, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 256, 8, 8, 2, 2, 580.5, 3.34867, n/a, 13.0667, n/a, n/a, n/a, n/a, n/a, n/a
64, 3, 3, 256, 8, 8, 2, 2, 1154.3, 5.58111, n/a, 26.055, n/a, n/a, n/a, n/a, n/a, n/a
128, 3, 3, 256, 8, 8, 2, 2, 2337.8, 10.4646, n/a, 53.48, n/a, n/a, n/a, n/a, n/a, n/a
256, 3, 3, 256, 8, 8, 2, 2, 4622.3, 20.9333, n/a, 105.98, n/a, n/a, n/a, n/a, n/a, n/a
512, 3, 3, 256, 8, 8, 2, 2, 9358.4, 41.9077, n/a, 210.933, n/a, n/a, n/a, n/a, n/a, n/a
32, 3, 3, 512, 8, 8, 2, 2, 1166.3, 6.46795, n/a, 23.9619, n/a, n/a, n/a, n/a, n/a, n/a
