wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
64,3,3,3,32,32,2,2,2.23067,0.119732,n/a,1.67425,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,32,32,2,2,4.43451,0.137779,n/a,3.29145,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,32,32,2,2,8.82456,0.201491,n/a,9.05536,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,32,32,2,2,17.5828,0.2936,n/a,23.3318,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,32,32,2,2,9.58679,0.43592,n/a,1.12382,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,32,32,2,2,18.9185,0.476644,n/a,2.12076,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,32,32,2,2,37.8786,0.613497,n/a,4.14545,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,32,32,2,2,75.7714,0.916117,n/a,10.55,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,32,32,2,2,152.35,1.47581,n/a,24.4857,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,32,32,2,2,19.6692,0.771032,n/a,1.3837,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,32,32,2,2,39.4923,0.893036,n/a,2.73388,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,32,32,2,2,79.2,1.14077,n/a,5.39247,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,32,32,2,2,157.925,1.68788,n/a,12.74,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,32,32,2,2,316.85,2.83107,n/a,27.8389,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,32,32,2,2,40.2154,1.48368,n/a,2.0374,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,32,32,2,2,80.1,1.70717,n/a,3.87597,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,32,32,2,2,160.05,2.17273,n/a,7.66364,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,32,32,2,2,321.65,3.29737,n/a,17.6655,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,32,32,2,2,642.3,5.46413,n/a,36.5071,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,32,32,2,2,83.0429,2.99226,n/a,3.29145,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,32,32,2,2,162.35,3.54085,n/a,6.20494,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,32,32,2,2,323.3,4.38174,n/a,12.1429,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,32,32,2,2,648.9,6.70133,n/a,26.6895,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,32,32,2,2,1306.8,11.05,n/a,54.29,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,32,32,2,2,162.35,6.16829,n/a,5.90353,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,32,32,2,2,324.8,7.13803,n/a,11.0783,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,32,32,2,2,649.6,9.16182,n/a,21.8652,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,32,32,2,2,1315.6,13.4684,n/a,45.8636,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,512,32,32,2,2,2616.7,22.8773,n/a,92.9,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,3,64,64,2,2,4.43363,0.283343,n/a,2.70757,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,64,64,2,2,8.92281,0.410418,n/a,8.06452,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,64,64,2,2,17.7414,0.429811,n/a,21.5542,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,64,64,2,2,35.2267,0.664143,n/a,45.1833,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,64,64,2,2,70.6375,1.15704,n/a,93.5333,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,64,64,2,2,38.0286,1.63431,n/a,3.77293,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,64,64,2,2,75.4286,1.89886,n/a,9.28704,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,64,64,2,2,151.175,2.44098,n/a,22.9091,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,64,64,2,2,305.1,3.49097,n/a,47.3636,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,64,64,2,2,627.7,5.92471,n/a,95.05,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,64,64,2,2,79.3,3.14591,n/a,5.12143,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,64,64,2,2,157.55,3.62826,n/a,11.7767,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,64,64,2,2,315.05,4.72453,n/a,26.225,n/a,n/a,n/a,n/a,n/a,n/a
