wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
512,3,3,512,8,8,1,1,173,1.32979,1.1655,0.908348,0.783255,1.50828,1.64016,1.5,1.15799,2.73634,1.24069,1.82573,1.5528,1.13179,1.2703,1.20493
32,3,3,3,16,16,1,1,0.292373,0.017384,0.0225774,0.0183003,0.0196998,0.022042,0.0234104,0.0222074,0.0234591,0.325945,0.0176454,0.0219664,0.0204692,0.0210837,0.0228425,0.0228822
64,3,3,3,16,16,1,1,0.582363,0.0186769,0.0231642,0.0207014,0.0264061,0.0254894,0.0264859,0.0258973,0.0278458,0.554601,0.0202511,0.0263699,0.0239705,0.0349333,0.0396291,0.0408297
128,3,3,3,16,16,1,1,1.16725,0.0344756,0.0269789,0.0336022,0.0284754,0.0279345,0.0305773,0.0318979,0.035241,1.16939,0.0206877,0.0298365,0.0272405,0.0743273,0.078964,0.0781861
256,3,3,3,16,16,1,1,2.32407,0.0366596,0.0384704,0.0383171,0.0307409,0.0286467,0.0335818,0.0285339,0.0335053,2.14592,0.026062,0.0374476,0.0348675,0.277624,0.279642,0.306748
512,3,3,3,16,16,1,1,4.6713,0.0573132,0.0417084,0.0552914,0.0577101,0.0629882,0.0418375,0.0646245,0.0556855,4.19792,0.0510882,0.065456,0.0562556,0.487805,0.44405,0.529926
32,3,3,32,16,16,1,1,2.51125,0.125219,0.127812,0.123977,0.134735,0.124224,0.113482,0.119104,0.120308,0.325309,0.108601,0.114916,0.125031,0.119019,0.0791014,0.0859845
64,3,3,32,16,16,1,1,5.0125,0.112032,0.131857,0.124193,0.165837,0.156152,0.154321,0.148236,0.190913,0.564972,0.121507,0.144802,0.129769,0.134156,0.0922509,0.103734
128,3,3,32,16,16,1,1,10.005,0.223115,0.195618,0.233427,0.228206,0.1468,0.165235,0.155039,0.194628,1.09409,0.15361,0.171468,0.156201,0.294118,0.180766,0.206868
256,3,3,32,16,16,1,1,20.13,0.281057,0.353357,0.271444,0.265111,0.180636,0.28393,0.189107,0.228102,2.14807,0.17331,0.199601,0.198413,0.371471,0.260281,0.303398
512,3,3,32,16,16,1,1,40.2308,0.434622,0.457038,0.36523,0.40991,0.412882,0.352361,0.403753,0.361795,4.29915,0.326158,0.387597,0.374159,0.566893,0.354862,0.392969
32,3,3,64,16,16,1,1,5.20833,0.135943,0.159236,0.151332,0.150739,0.221631,0.216263,0.219877,0.233536,0.349895,0.207727,0.217486,0.208247,0.152022,0.0844024,0.0998801
64,3,3,64,16,16,1,1,10.4479,0.151699,0.198807,0.177305,0.245218,0.257732,0.278552,0.241783,0.309406,0.592417,0.23084,0.249501,0.253421,0.18875,0.111508,0.118483
128,3,3,64,16,16,1,1,20.8854,0.27115,0.258127,0.275028,0.276243,0.287356,0.326797,0.272926,0.367377,1.13807,0.280112,0.293427,0.30175,0.385995,0.169722,0.210875
256,3,3,64,16,16,1,1,41.9583,0.435758,0.499002,0.379363,0.399361,0.309023,0.522466,0.336927,0.393898,2.08542,0.371381,0.418619,0.402778,0.420732,0.262461,0.300993
512,3,3,64,16,16,1,1,83.4167,0.711593,0.623753,0.507099,0.575374,0.698047,0.630353,0.68154,0.60563,4.026,0.621739,0.73243,0.685959,0.580626,0.56243,0.606364
32,3,3,128,16,16,1,1,10.6146,0.301386,0.371471,0.31145,0.273075,0.417083,0.39093,0.438431,0.411728,0.453309,0.483559,0.432526,0.42946,0.251636,0.122639,0.124875
64,3,3,128,16,16,1,1,21.2813,0.344116,0.423012,0.316456,0.376506,0.44287,0.431779,0.461255,0.578035,0.610501,0.449731,0.440917,0.467961,0.277162,0.155376,0.172652
128,3,3,128,16,16,1,1,42.375,0.469925,0.544662,0.480307,0.558939,0.625782,0.549122,0.620347,0.742211,1.15972,0.582072,0.568182,0.564334,0.453721,0.27248,0.274424
256,3,3,128,16,16,1,1,84.9167,0.675101,0.842593,0.642995,0.627193,0.710227,1.06263,0.797448,0.963873,2.29358,0.715308,0.775581,0.823602,0.655105,0.440361,0.453536
512,3,3,128,16,16,1,1,170.667,1.2892,1.26389,0.897401,1.22794,1.49552,1.35203,1.43678,1.20542,4.47098,1.21126,1.36612,1.40266,0.931099,0.914077,0.948767
32,3,3,256,16,16,1,1,21.4896,0.502008,0.592308,0.497512,0.570776,0.718077,0.687157,0.727802,0.74442,0.541712,0.876095,0.735662,0.8,0.401163,0.148544,0.157233
64,3,3,256,16,16,1,1,42.9583,0.628141,0.702598,0.575662,0.69735,0.803859,0.781641,0.802568,1.09945,0.698324,0.840756,0.794913,0.893304,0.457038,0.216076,0.235627
128,3,3,256,16,16,1,1,85.625,0.871516,0.865917,0.818331,0.937266,0.936798,0.926389,1.01677,1.4233,1.34543,1.02561,1.02459,1.07581,0.836957,0.436138,0.473722
256,3,3,256,16,16,1,1,172,1.26904,1.0875,1.08696,1.17606,1.19617,1.20167,1.20373,1.74219,2.56378,1.29858,1.26326,1.41243,1.21308,0.988659,0.742953
512,3,3,256,16,16,1,1,344.125,2.18043,1.94186,1.54799,1.7712,2.88649,2.33762,2.73224,2.33256,5.10204,2.42029,2.86857,2.73497,2.10042,1.53451,1.60852
32,3,3,512,16,16,1,1,43.1875,0.852215,1.06157,0.914077,0.928108,1.36954,1.36986,1.35338,1.57965,0.784091,1.52052,1.336,1.49403,0.78125,0.236742,0.23912
64,3,3,512,16,16,1,1,86.25,0.919577,1.23034,0.972763,1.26389,1.62662,1.54707,1.59634,2.21903,0.989625,1.67869,1.54799,1.73872,0.883834,0.382454,0.405515
128,3,3,512,16,16,1,1,173,1.55357,1.3726,1.53923,1.64098,1.80866,1.725,1.75877,2.83898,1.70648,1.97343,1.85148,2.10504,1.47929,0.847881,0.821018
256,3,3,512,16,16,1,1,345.5,2.51884,1.95349,2.32176,2.26584,2.30991,2.59974,2.32176,3.38007,3.19108,2.45466,2.40191,2.58376,2.16379,1.3668,1.44725
512,3,3,512,16,16,1,1,692.75,4.10656,4.0504,2.87143,3.50874,5.50549,4.79286,5.46196,4.91912,6.44551,4.79762,5.47011,5.62079,4.13223,3.5,3.4569
32,3,3,3,32,32,1,1,1.17096,0.049087,0.0831255,0.0455415,0.0565547,0.0494805,0.0732708,0.0509061,0.060746,0.60054,0.0367188,0.0353582,0.0425242,0.0725058,0.0666045,0.0712149
64,3,3,3,32,32,1,1,2.32292,0.0495688,0.0818599,0.0549813,0.0750075,0.050551,0.0813802,0.0502109,0.0673764,1.169,0.0424101,0.0444998,0.0518726,0.167278,0.117371,0.159439
128,3,3,3,32,32,1,1,4.65278,0.0743314,0.0988142,0.0812348,0.0947508,0.0624922,0.0918274,0.0624844,0.0890789,2.26357,0.0476826,0.0564016,0.0630835,0.433276,0.337382,0.419815
256,3,3,3,32,32,1,1,9.30556,0.129066,0.128999,0.134735,0.119303,0.0724218,0.106112,0.0725058,0.0958957,4.20588,0.0641108,0.0761847,0.084488,0.852215,0.710582,0.849745
512,3,3,3,32,32,1,1,18.713,0.202511,0.162866,0.1485,0.151378,0.093932,0.144467,0.0985222,0.132135,8.3875,0.0854117,0.113817,0.110254,1.48591,1.30809,1.63934
32,3,3,32,32,32,1,1,10.015,0.318269,0.655308,0.318471,0.335796,0.321337,0.620658,0.316614,0.381098,0.634518,0.373043,0.277316,0.320924,0.257467,0.0985222,0.128041
64,3,3,32,32,32,1,1,20.03,0.336247,0.713267,0.413223,0.534455,0.346981,0.594418,0.357833,0.527134,1.18543,0.381579,0.301023,0.371471,0.304878,0.143102,0.20816
128,3,3,32,32,32,1,1,40.0577,0.411184,0.749251,0.457457,0.639706,0.412882,0.694792,0.43554,0.77,2.26584,0.478927,0.391543,0.484269,0.547319,0.452123,0.589706
256,3,3,32,32,32,1,1,80.3571,0.535027,0.879174,0.573394,0.741481,0.516787,0.783255,0.541712,0.968085,4.33405,0.567537,0.505303,0.572738,1.20313,0.846447,0.982843
512,3,3,32,32,32,1,1,160.625,0.764908,1.0621,0.866551,1.12867,0.808562,0.998503,0.727108,0.982318,8.54237,0.780421,0.747758,0.826446,1.94747,1.55435,1.69915
32,3,3,64,32,32,1,1,20.8333,0.505561,1.0395,0.50942,0.547919,0.620347,1.19737,0.630353,0.658762,0.667891,0.719784,0.586166,0.660832,0.427199,0.13369,0.155424
64,3,3,64,32,32,1,1,41.6875,0.60563,1.22433,0.629723,0.782473,0.690953,1.16939,0.694792,1.01471,1.2285,0.752256,0.629245,0.758333,0.520291,0.206186,0.26001
128,3,3,64,32,32,1,1,84.4583,0.869792,1.27615,0.849321,1.09945,0.842172,1.48442,0.874563,1.56328,2.34859,0.902527,0.812906,0.931099,0.759878,0.468838,0.491168
256,3,3,64,32,32,1,1,168.25,1.0592,1.52905,1.15856,1.34316,1.11969,1.61812,1.09464,1.9205,4.63426,1.16183,1.03299,1.20433,1.14269,0.761416,0.924214
512,3,3,64,32,32,1,1,333.625,1.57233,1.95898,1.61812,2.16056,1.62948,2.001,1.68687,1.97826,9.4434,1.75087,1.67083,1.89394,1.86245,1.3527,1.65977
32,3,3,128,32,32,1,1,42.375,1.03196,2.10084,0.978027,1.00806,1.26134,2.171,1.25439,1.3089,0.751126,1.45918,1.12388,1.44798,0.74442,0.197436,0.2145
64,3,3,128,32,32,1,1,85,1.13036,2.22778,1.20144,1.50602,1.4438,2.36321,1.41525,2.11029,1.39276,1.65264,1.26772,1.59554,0.897401,0.347464,0.383627
128,3,3,128,32,32,1,1,170.5,1.45712,2.46305,1.58544,1.97925,1.69492,2.73497,1.8125,2.83475,2.82768,1.99303,1.69492,1.92146,1.25376,0.58072,0.720821
256,3,3,128,32,32,1,1,339.875,2.06921,3.05152,1.82573,2.34977,2.14914,2.72962,1.99801,3.57143,4.89078,2.23884,1.9541,2.18996,1.52204,0.958812,1.12528
512,3,3,128,32,32,1,1,679.5,2.58763,3.53697,2.66356,3.56383,2.77348,3.65693,2.81601,3.58571,10.1,3.16195,2.89162,3.1087,2.45,1.79018,2.04184
32,3,3,256,32,32,1,1,86.125,1.64344,3.53345,1.66362,1.76496,2.52638,4.35652,2.47525,2.67781,0.910455,2.78194,2.17316,2.64683,1.336,0.320513,0.343407
